,ENVProjectID,ENVNodeID,node_distances,override_type,pred_method
307,1022-3460-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
308,1022-3461-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
309,1022-3459-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
310,1022-3463-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
311,1022-3462-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
312,1022-3465-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
313,1022-3466-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
314,1022-3456-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
315,1022-3458-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
316,1022-3457-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
317,1022-3464-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
318,1022-14885-Traditional,MGSES_CT123-ERCOT-LMP,0.0,marginal_unit,marginal_unit
1548,1677-5856-Traditional,GIDEON_0103-ERCOT-LMP,0.0,marginal_unit,marginal_unit
1549,1677-5855-Traditional,GIDEON_0103-ERCOT-LMP,0.0,marginal_unit,marginal_unit
1550,1677-5857-Traditional,GIDEON_0103-ERCOT-LMP,0.0,marginal_unit,marginal_unit
2794,2109-7400-Traditional,18 WILL 20 KV   ATR41 04-PJM-LMP,0.0,marginal_unit,marginal_unit
2795,2109-7399-Traditional,18 WILL 20 KV   ATR41 04-PJM-LMP,0.0,marginal_unit,marginal_unit
2796,2109-7402-Traditional,18 WILL 20 KV   ATR41 04-PJM-LMP,0.0,marginal_unit,marginal_unit
2797,2109-7401-Traditional,18 WILL 20 KV   ATR41 04-PJM-LMP,0.0,marginal_unit,marginal_unit
3259,2185-7636-Traditional,JACKCNTY_CC1-ERCOT-LMP,0.0,marginal_unit,marginal_unit
